ID;Label;raid5-512-8_acc.pth
['RAID/test/combinedtest-study/patient671/study1_negative/'];0.0;0.03164616972208023
['RAID/test/combinedtest-study/patient010/study1_negative/'];0.0;0.7332286834716797
['RAID/test/combinedtest-study/patient072/study1_positive/'];1.0;0.1234133392572403
['RAID/test/combinedtest-study/patient765/study1_negative/'];0.0;0.0043123941868543625
['RAID/test/combinedtest-study/patient361/study1_positive/'];1.0;0.9865406155586243
['RAID/test/combinedtest-study/patient843/study1_negative/'];0.0;0.012201515957713127
['RAID/test/combinedtest-study/patient062/study1_positive/'];1.0;0.9686338901519775
['RAID/test/combinedtest-study/patient64/study1_positive/'];1.0;0.9755664467811584
['RAID/test/combinedtest-study/patient503/study1_negative/'];0.0;0.035404011607170105
['RAID/test/combinedtest-study/patient6/study1_positive/'];1.0;0.03234042972326279
['RAID/test/combinedtest-study/patient880/study1_negative/'];0.0;0.203440323472023
['RAID/test/combinedtest-study/patient015/study1_negative/'];0.0;0.013718951493501663
['RAID/test/combinedtest-study/patient199/study1_positive/'];1.0;0.9985910058021545
['RAID/test/combinedtest-study/patient293/study1_positive/'];1.0;0.9999754428863525
['RAID/test/combinedtest-study/patient712/study1_negative/'];0.0;0.7191082835197449
['RAID/test/combinedtest-study/patient032/study1_negative/'];0.0;0.8106019496917725
['RAID/test/combinedtest-study/patient029/study1_negative/'];0.0;0.6052266955375671
['RAID/test/combinedtest-study/patient643/study1_negative/'];0.0;0.11046788841485977
['RAID/test/combinedtest-study/patient304/study1_positive/'];1.0;0.9540405869483948
['RAID/test/combinedtest-study/patient360/study1_positive/'];1.0;0.9999767541885376
['RAID/test/combinedtest-study/patient449/study1_negative/'];0.0;0.007721697445958853
['RAID/test/combinedtest-study/patient056/study1_positive/'];1.0;0.9996356964111328
['RAID/test/combinedtest-study/patient798/study1_negative/'];0.0;0.24191713333129883
['RAID/test/combinedtest-study/patient074/study1_positive/'];1.0;0.7630288600921631
['RAID/test/combinedtest-study/patient07/study1_negative/'];0.0;0.008554674685001373
['RAID/test/combinedtest-study/patient16/study1_positive/'];1.0;0.9772072434425354
['RAID/test/combinedtest-study/patient496/study1_negative/'];0.0;0.01955258660018444
['RAID/test/combinedtest-study/patient499/study1_negative/'];0.0;0.017365198582410812
['RAID/test/combinedtest-study/patient154/study1_positive/'];1.0;0.9997994303703308
['RAID/test/combinedtest-study/patient067/study1_positive/'];1.0;0.999972939491272
['RAID/test/combinedtest-study/patient561/study1_negative/'];0.0;0.02406482584774494
['RAID/test/combinedtest-study/patient023/study1_negative/'];0.0;0.008571567013859749
['RAID/test/combinedtest-study/patient258/study1_positive/'];1.0;0.9448096752166748
['RAID/test/combinedtest-study/patient250/study1_positive/'];1.0;0.9999909400939941
['RAID/test/combinedtest-study/patient229/study1_positive/'];1.0;0.9749192595481873
['RAID/test/combinedtest-study/patient749/study1_negative/'];0.0;0.34423384070396423
['RAID/test/combinedtest-study/patient820/study1_negative/'];0.0;0.02154994197189808
['RAID/test/combinedtest-study/patient048/study1_negative/'];0.0;0.07871221750974655
['RAID/test/combinedtest-study/patient052/study1_positive/'];1.0;0.999575674533844
['RAID/test/combinedtest-study/patient842/study1_negative/'];0.0;0.0069444733671844006
['RAID/test/combinedtest-study/patient460/study1_negative/'];0.0;0.19107748568058014
['RAID/test/combinedtest-study/patient348/study1_positive/'];1.0;0.9998841285705566
['RAID/test/combinedtest-study/patient387/study1_positive/'];1.0;0.9968622922897339
['RAID/test/combinedtest-study/patient762/study1_negative/'];0.0;0.11636047065258026
['RAID/test/combinedtest-study/patient25/study1_positive/'];1.0;0.999940037727356
['RAID/test/combinedtest-study/patient024/study1_negative/'];0.0;0.0011511397315189242
['RAID/test/combinedtest-study/patient060/study1_positive/'];1.0;0.9988442659378052
['RAID/test/combinedtest-study/patient083/study1_positive/'];1.0;0.9977432489395142
['RAID/test/combinedtest-study/patient910/study1_negative/'];0.0;0.976072371006012
['RAID/test/combinedtest-study/patient273/study1_positive/'];1.0;0.9992009997367859
['RAID/test/combinedtest-study/patient031/study1_negative/'];0.0;0.10034836828708649
['RAID/test/combinedtest-study/patient128/study1_positive/'];1.0;0.9975683093070984
['RAID/test/combinedtest-study/patient042/study1_negative/'];0.0;0.019541282206773758
['RAID/test/combinedtest-study/patient767/study1_negative/'];0.0;0.4859016537666321
['RAID/test/combinedtest-study/patient058/study1_positive/'];1.0;0.996966540813446
['RAID/test/combinedtest-study/patient050/study1_negative/'];0.0;0.06117831543087959
['RAID/test/combinedtest-study/patient09/study1_negative/'];0.0;0.008622348308563232
['RAID/test/combinedtest-study/patient672/study1_negative/'];0.0;0.056279342621564865
['RAID/test/combinedtest-study/patient315/study1_positive/'];1.0;0.9997921586036682
['RAID/test/combinedtest-study/patient070/study1_positive/'];1.0;0.7266510725021362
['RAID/test/combinedtest-study/patient039/study1_negative/'];0.0;0.8774358630180359
['RAID/test/combinedtest-study/patient438/study1_negative/'];0.0;0.0017625936307013035
['RAID/test/combinedtest-study/patient040/study1_negative/'];0.0;0.016891339793801308
['RAID/test/combinedtest-study/patient046/study1_negative/'];0.0;0.41057148575782776
['RAID/test/combinedtest-study/patient48/study1_positive/'];1.0;0.5466160178184509
['RAID/test/combinedtest-study/patient081/study1_positive/'];1.0;0.9725144505500793
['RAID/test/combinedtest-study/patient075/study1_positive/'];1.0;0.9997871518135071
['RAID/test/combinedtest-study/patient808/study1_negative/'];0.0;0.02086304873228073
['RAID/test/combinedtest-study/patient366/study1_positive/'];1.0;0.937005877494812
['RAID/test/combinedtest-study/patient80/study1_positive/'];1.0;0.8640006184577942
['RAID/test/combinedtest-study/patient22/study1_positive/'];1.0;0.9999973773956299
['RAID/test/combinedtest-study/patient881/study1_negative/'];0.0;0.052675601094961166
['RAID/test/combinedtest-study/patient485/study1_negative/'];0.0;0.007587877102196217
['RAID/test/combinedtest-study/patient061/study1_positive/'];1.0;0.9632459878921509
['RAID/test/combinedtest-study/patient616/study1_negative/'];0.0;0.005018646828830242
['RAID/test/combinedtest-study/patient286/study1_positive/'];1.0;0.9958639144897461
['RAID/test/combinedtest-study/patient817/study1_negative/'];0.0;0.006064091343432665
['RAID/test/combinedtest-study/patient641/study1_negative/'];0.0;0.0572064034640789
['RAID/test/combinedtest-study/patient472/study1_negative/'];0.0;0.3255108892917633
['RAID/test/combinedtest-study/patient077/study1_positive/'];1.0;0.9999967813491821
['RAID/test/combinedtest-study/patient212/study1_positive/'];1.0;0.9999839067459106
['RAID/test/combinedtest-study/patient733/study1_negative/'];0.0;0.008882946334779263
['RAID/test/combinedtest-study/patient020/study1_negative/'];0.0;0.010669355280697346
['RAID/test/combinedtest-study/patient016/study1_negative/'];0.0;0.007722452748566866
['RAID/test/combinedtest-study/patient034/study1_negative/'];0.0;0.13814547657966614
['RAID/test/combinedtest-study/patient615/study1_negative/'];0.0;0.9435814619064331
['RAID/test/combinedtest-study/patient064/study1_positive/'];1.0;0.9496380686759949
['RAID/test/combinedtest-study/patient709/study1_negative/'];0.0;0.016693271696567535
['RAID/test/combinedtest-study/patient421/study1_negative/'];0.0;0.009248628281056881
['RAID/test/combinedtest-study/patient066/study1_positive/'];1.0;0.9537373185157776
['RAID/test/combinedtest-study/patient019/study1_negative/'];0.0;0.9277352094650269
['RAID/test/combinedtest-study/patient045/study1_negative/'];0.0;0.8883258104324341
['RAID/test/combinedtest-study/patient033/study1_negative/'];0.0;0.07321073114871979
['RAID/test/combinedtest-study/patient628/study1_negative/'];0.0;0.006639197003096342
['RAID/test/combinedtest-study/patient051/study1_positive/'];1.0;0.9999994039535522
['RAID/test/combinedtest-study/patient925/study1_negative/'];0.0;0.13038641214370728
['RAID/test/combinedtest-study/patient041/study1_negative/'];0.0;0.0057870191521942616
['RAID/test/combinedtest-study/patient082/study1_positive/'];1.0;0.9994458556175232
['RAID/test/combinedtest-study/patient14/study1_positive/'];1.0;0.7688774466514587
['RAID/test/combinedtest-study/patient495/study1_negative/'];0.0;0.011487120762467384
['RAID/test/combinedtest-study/patient650/study1_negative/'];0.0;0.0011489957105368376
['RAID/test/combinedtest-study/patient053/study1_positive/'];1.0;0.9982465505599976
['RAID/test/combinedtest-study/patient038/study1_negative/'];0.0;0.8537031412124634
['RAID/test/combinedtest-study/patient011/study1_negative/'];0.0;0.7683722972869873
['RAID/test/combinedtest-study/patient014/study1_negative/'];0.0;0.0039374749176204205
['RAID/test/combinedtest-study/patient021/study1_negative/'];0.0;0.002073707990348339
['RAID/test/combinedtest-study/patient112/study1_positive/'];1.0;0.7661037445068359
['RAID/test/combinedtest-study/patient017/study1_negative/'];0.0;0.4658434987068176
['RAID/test/combinedtest-study/patient079/study1_positive/'];1.0;0.9998868703842163
['RAID/test/combinedtest-study/patient078/study1_positive/'];1.0;0.9992232322692871
['RAID/test/combinedtest-study/patient055/study1_positive/'];1.0;0.9994133710861206
['RAID/test/combinedtest-study/patient027/study1_negative/'];0.0;0.0028224249836057425
['RAID/test/combinedtest-study/patient679/study1_negative/'];0.0;0.08832099288702011
['RAID/test/combinedtest-study/patient391/study1_positive/'];1.0;0.999993085861206
['RAID/test/combinedtest-study/patient408/study1_negative/'];0.0;0.02060256525874138
['RAID/test/combinedtest-study/patient719/study1_negative/'];0.0;0.05760509520769119
['RAID/test/combinedtest-study/patient013/study1_negative/'];0.0;0.0448884591460228
['RAID/test/combinedtest-study/patient18/study1_positive/'];1.0;0.9995576739311218
['RAID/test/combinedtest-study/patient026/study1_negative/'];0.0;0.5363351106643677
['RAID/test/combinedtest-study/patient069/study1_positive/'];1.0;0.9999890327453613
['RAID/test/combinedtest-study/patient059/study1_positive/'];1.0;0.9856752753257751
['RAID/test/combinedtest-study/patient018/study1_negative/'];0.0;0.050406064838171005
['RAID/test/combinedtest-study/patient367/study1_positive/'];1.0;0.9906760454177856
['RAID/test/combinedtest-study/patient187/study1_positive/'];1.0;0.9924514889717102
['RAID/test/combinedtest-study/patient073/study1_positive/'];1.0;0.9918413162231445
['RAID/test/combinedtest-study/patient063/study1_positive/'];1.0;0.9886998534202576
['RAID/test/combinedtest-study/patient08/study1_negative/'];0.0;0.020231004804372787
['RAID/test/combinedtest-study/patient343/study1_positive/'];1.0;0.9997978806495667
['RAID/test/combinedtest-study/patient333/study1_positive/'];1.0;0.9999885559082031
['RAID/test/combinedtest-study/patient731/study1_negative/'];0.0;0.9843217134475708
['RAID/test/combinedtest-study/patient068/study1_positive/'];1.0;0.9998251795768738
['RAID/test/combinedtest-study/patient290/study1_positive/'];1.0;0.9025859832763672
['RAID/test/combinedtest-study/patient600/study1_negative/'];0.0;0.03142218291759491
['RAID/test/combinedtest-study/patient025/study1_negative/'];0.0;0.6930465698242188
['RAID/test/combinedtest-study/patient084/study1_positive/'];1.0;0.946444034576416
['RAID/test/combinedtest-study/patient030/study1_negative/'];0.0;0.01191196870058775
['RAID/test/combinedtest-study/patient340/study1_positive/'];1.0;0.9998810291290283
['RAID/test/combinedtest-study/patient267/study1_positive/'];1.0;0.934197187423706
['RAID/test/combinedtest-study/patient047/study1_negative/'];0.0;0.07654067128896713
['RAID/test/combinedtest-study/patient646/study1_negative/'];0.0;0.02833283506333828
['RAID/test/combinedtest-study/patient923/study1_negative/'];0.0;0.44347742199897766
['RAID/test/combinedtest-study/patient071/study1_positive/'];1.0;0.9982833862304688
['RAID/test/combinedtest-study/patient866/study1_negative/'];0.0;0.013996991328895092
['RAID/test/combinedtest-study/patient515/study1_negative/'];0.0;0.3967666029930115
['RAID/test/combinedtest-study/patient342/study1_positive/'];1.0;0.9999903440475464
['RAID/test/combinedtest-study/patient161/study1_positive/'];1.0;0.9999997615814209
['RAID/test/combinedtest-study/patient080/study1_positive/'];1.0;0.8516663908958435
['RAID/test/combinedtest-study/patient57/study1_positive/'];1.0;0.9911379218101501
['RAID/test/combinedtest-study/patient95/study1_positive/'];1.0;0.981513261795044
['RAID/test/combinedtest-study/patient012/study1_negative/'];0.0;0.0011852013412863016
['RAID/test/combinedtest-study/patient288/study1_positive/'];1.0;0.992875337600708
['RAID/test/combinedtest-study/patient037/study1_negative/'];0.0;0.1734987497329712
['RAID/test/combinedtest-study/patient815/study1_negative/'];0.0;0.0068366993218660355
['RAID/test/combinedtest-study/patient043/study1_negative/'];0.0;0.02198021486401558
['RAID/test/combinedtest-study/patient057/study1_positive/'];1.0;0.9701356887817383
['RAID/test/combinedtest-study/patient323/study1_positive/'];1.0;0.9975851774215698
['RAID/test/combinedtest-study/patient049/study1_negative/'];0.0;0.06530779600143433
['RAID/test/combinedtest-study/patient759/study1_negative/'];0.0;0.0010625517461448908
['RAID/test/combinedtest-study/patient400/study1_negative/'];0.0;0.01145112793892622
['RAID/test/combinedtest-study/patient054/study1_positive/'];1.0;0.9999090433120728
['RAID/test/combinedtest-study/patient233/study1_positive/'];1.0;0.9986366629600525
['RAID/test/combinedtest-study/patient420/study1_negative/'];0.0;0.0248863622546196
['RAID/test/combinedtest-study/patient138/study1_positive/'];1.0;0.9993219375610352
['RAID/test/combinedtest-study/patient461/study1_negative/'];0.0;0.002442341996356845
['RAID/test/combinedtest-study/patient754/study1_negative/'];0.0;0.001822869060561061
['RAID/test/combinedtest-study/patient62/study1_positive/'];1.0;0.9965028762817383
['RAID/test/combinedtest-study/patient89/study1_positive/'];1.0;0.9800559878349304
['RAID/test/combinedtest-study/patient93/study1_positive/'];1.0;0.8646240830421448
